wallet,final_score,score_longevity,score_activity_frequency,score_time_consistency,score_repayment_ratio,score_collateral_health,score_liquidation_penalty,score_asset_diversity,score_tx_size_volatility,score_borrow_activity,score_healthy_usage,raw_score,normalized_score
0x0a3269d3f3b67c518f5bbbc6c7287a4bf0edb343,59.088009364561145,0.003612728310502283,0.7583537404218343,0.9333557500016534,1.0,1.0,0.0,0.3333333333333333,-0.09705484972523656,0.0,0.0,3.9316007023420867,59.088009364561145
0xad7b4deec9b9291fcb28d1735b87b7f53d807c39,64.35218240904284,0.0006735159817351598,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,-0.007593168636854657,0.0,0.0,4.326413680678214,64.35218240904284
0xe94bc3c9813519afd3e512a1f48ad7cac17f6e8b,60.438966746261244,0.10622986428209032,0.2269567903906342,0.7996877736888227,1.0,1.0,0.0,1.0,-0.09995192239195345,0.0,0.0,4.0329225059695935,60.438966746261244
0xaf04fe42ffaf901a139928a49e021d03903b707b,51.254244819854186,0.10520421106037543,0.01562518838238308,0.3346555439203043,1.0,1.0,0.0,1.0,-0.11141658187399858,0.0,0.0,3.344068361489064,51.254244819854186
0x23a3c85cc0e3fa0722cbdecd93634d4fa52575bf,42.72534027864895,0.07358231861998984,0.03723348324407065,0.0,1.0,1.0,0.0,0.6666666666666666,-0.07308194763205608,0.0,0.0,2.704400520898671,42.72534027864895
0x0034ea9808e620a0ef79261c51af20614b742b24,59.44126955390833,0.33653500761035005,1.0,0.8018173537367725,1.0,1.0,0.0,0.3333333333333333,-0.5135904781373309,0.0,0.0,3.9580952165431245,59.44126955390833
0x29fe7d60ddf151e5b52e5fab4f1325da6b2bd958,54.35763193791826,0.34408177955352615,1.0,0.8994072824570105,1.0,1.0,0.0,0.3333333333333333,-1.0,0.0,0.0,3.5768223953438696,54.35763193791826
0xadeeb9d09b8bcee10943198fb6f6a4229bab3675,52.42685018993135,0.34469939117199394,0.09378829191826642,0.08493662482969577,1.0,1.0,0.0,1.0,-0.09141054367510479,0.0,0.0,3.4320137642448514,52.42685018993135
0x52ea46506b9cc5ef470c5bf89f17dc28bb35d85c,47.12347037357464,0.34330809233891424,0.1915289098184798,0.4904212527430556,1.0,1.0,0.0,0.6666666666666666,-0.6576646435490178,0.0,0.0,3.0342602780180985,47.12347037357464
0x210671bed37d221cde1eaaaccf6fe4f843ce1bc4,59.719141548085,0.02485984271943176,0.2644965432791653,0.8281406598627645,1.0,1.0,0.0,1.0,-0.1385614297549859,0.0,0.0,3.978935616106375,59.719141548085
